# These isoelasticity lines were extracted from FEM simulations conducted
# by Lucas Wittwer and were added to dclab 0.46.0. The model computations
# were done with an equivalent channel radius for a square channel cross-
# section using the factor 1.094.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "HE-2D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "publication": "https://arxiv.org/abs/2208.12552",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
2.93377e+01	3.23782e-02	4.90000e-01
2.97721e+01	3.30286e-02	4.90000e-01
3.00428e+01	3.34403e-02	4.90000e-01
3.03066e+01	3.38521e-02	4.90000e-01
3.05759e+01	3.42638e-02	4.90000e-01
3.08449e+01	3.46756e-02	4.90000e-01
3.11142e+01	3.50873e-02	4.90000e-01
3.13760e+01	3.54991e-02	4.90000e-01
3.16369e+01	3.59108e-02	4.90000e-01
3.18976e+01	3.63226e-02	4.90000e-01
3.21498e+01	3.67343e-02	4.90000e-01
3.24042e+01	3.71461e-02	4.90000e-01
3.26701e+01	3.75578e-02	4.90000e-01
3.29079e+01	3.79696e-02	4.90000e-01
3.31506e+01	3.83813e-02	4.90000e-01
3.33974e+01	3.87931e-02	4.90000e-01
3.36431e+01	3.92049e-02	4.90000e-01
3.38887e+01	3.96166e-02	4.90000e-01
3.41272e+01	4.00284e-02	4.90000e-01
3.43686e+01	4.04401e-02	4.90000e-01
3.46039e+01	4.08519e-02	4.90000e-01
3.48339e+01	4.12636e-02	4.90000e-01
3.50746e+01	4.16754e-02	4.90000e-01
3.52985e+01	4.20871e-02	4.90000e-01
3.55264e+01	4.24989e-02	4.90000e-01
3.57578e+01	4.29106e-02	4.90000e-01
3.59761e+01	4.33224e-02	4.90000e-01
3.62033e+01	4.37341e-02	4.90000e-01
3.64274e+01	4.41459e-02	4.90000e-01
3.66381e+01	4.45577e-02	4.90000e-01
3.68566e+01	4.49694e-02	4.90000e-01
3.70904e+01	4.53812e-02	4.90000e-01
3.72909e+01	4.57929e-02	4.90000e-01
3.74927e+01	4.62047e-02	4.90000e-01
3.77097e+01	4.66164e-02	4.90000e-01
3.79368e+01	4.70282e-02	4.90000e-01
3.81246e+01	4.74399e-02	4.90000e-01
3.83127e+01	4.78517e-02	4.90000e-01
3.85298e+01	4.82634e-02	4.90000e-01
3.87510e+01	4.86752e-02	4.90000e-01
3.89264e+01	4.90869e-02	4.90000e-01
3.91130e+01	4.94987e-02	4.90000e-01
3.93204e+01	4.99105e-02	4.90000e-01
3.95267e+01	5.03222e-02	4.90000e-01
3.97011e+01	5.07340e-02	4.90000e-01
3.98941e+01	5.11457e-02	4.90000e-01
4.00878e+01	5.15575e-02	4.90000e-01
4.02829e+01	5.19692e-02	4.90000e-01
4.04704e+01	5.23810e-02	4.90000e-01
4.06547e+01	5.27927e-02	4.90000e-01
4.08355e+01	5.32045e-02	4.90000e-01
4.10111e+01	5.36162e-02	4.90000e-01
4.11901e+01	5.40280e-02	4.90000e-01
4.13738e+01	5.44397e-02	4.90000e-01
4.15476e+01	5.48515e-02	4.90000e-01
4.17100e+01	5.52633e-02	4.90000e-01
4.18723e+01	5.56750e-02	4.90000e-01
4.20446e+01	5.60868e-02	4.90000e-01
