# These isoelasticity lines were extracted from FEM simulations conducted
# by Lucas Wittwer and were added to dclab 0.46.0. The model computations
# were done with an equivalent channel radius for a square channel cross-
# section using the factor 1.094.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "HE-2D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "publication": "https://arxiv.org/abs/2208.12552",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
1.37192e+02	2.64095e-02	5.50000e-01
1.40110e+02	2.68522e-02	5.50000e-01
1.42632e+02	2.72640e-02	5.50000e-01
1.45298e+02	2.76758e-02	5.50000e-01
1.47774e+02	2.80875e-02	5.50000e-01
1.50336e+02	2.84993e-02	5.50000e-01
1.52876e+02	2.89110e-02	5.50000e-01
1.55579e+02	2.93228e-02	5.50000e-01
1.58068e+02	2.97345e-02	5.50000e-01
1.60706e+02	3.01463e-02	5.50000e-01
1.63142e+02	3.05580e-02	5.50000e-01
1.65758e+02	3.09698e-02	5.50000e-01
1.68316e+02	3.13815e-02	5.50000e-01
1.70913e+02	3.17933e-02	5.50000e-01
1.73417e+02	3.22050e-02	5.50000e-01
1.76002e+02	3.26168e-02	5.50000e-01
1.78394e+02	3.30286e-02	5.50000e-01
1.81085e+02	3.34403e-02	5.50000e-01
1.83514e+02	3.38521e-02	5.50000e-01
1.86039e+02	3.42638e-02	5.50000e-01
1.88641e+02	3.46756e-02	5.50000e-01
1.90866e+02	3.50873e-02	5.50000e-01
1.93668e+02	3.54991e-02	5.50000e-01
1.96059e+02	3.59108e-02	5.50000e-01
1.98531e+02	3.63226e-02	5.50000e-01
2.01147e+02	3.67343e-02	5.50000e-01
2.03535e+02	3.71461e-02	5.50000e-01
2.05985e+02	3.75578e-02	5.50000e-01
2.08514e+02	3.79696e-02	5.50000e-01
2.10947e+02	3.83813e-02	5.50000e-01
2.13412e+02	3.87931e-02	5.50000e-01
2.15861e+02	3.92049e-02	5.50000e-01
2.18155e+02	3.96166e-02	5.50000e-01
2.20521e+02	4.00284e-02	5.50000e-01
2.23076e+02	4.04401e-02	5.50000e-01
2.25395e+02	4.08519e-02	5.50000e-01
2.27740e+02	4.12636e-02	5.50000e-01
2.29983e+02	4.16754e-02	5.50000e-01
2.32348e+02	4.20871e-02	5.50000e-01
2.34885e+02	4.24989e-02	5.50000e-01
2.37029e+02	4.29106e-02	5.50000e-01
2.39543e+02	4.33224e-02	5.50000e-01
2.41830e+02	4.37341e-02	5.50000e-01
2.44132e+02	4.41459e-02	5.50000e-01
2.46275e+02	4.45577e-02	5.50000e-01
2.48809e+02	4.49694e-02	5.50000e-01
2.51041e+02	4.53812e-02	5.50000e-01
2.53358e+02	4.57929e-02	5.50000e-01
2.55656e+02	4.62047e-02	5.50000e-01
2.58052e+02	4.66164e-02	5.50000e-01
2.59924e+02	4.70282e-02	5.50000e-01
2.62350e+02	4.74399e-02	5.50000e-01
2.64737e+02	4.78517e-02	5.50000e-01
2.66854e+02	4.82634e-02	5.50000e-01
2.69081e+02	4.86752e-02	5.50000e-01
2.71421e+02	4.90869e-02	5.50000e-01
2.73827e+02	4.94987e-02	5.50000e-01
2.75665e+02	4.99105e-02	5.50000e-01
2.77831e+02	5.03222e-02	5.50000e-01
2.80108e+02	5.07340e-02	5.50000e-01
2.82286e+02	5.11457e-02	5.50000e-01
2.84369e+02	5.15575e-02	5.50000e-01
2.86473e+02	5.19692e-02	5.50000e-01
2.88610e+02	5.23810e-02	5.50000e-01
2.90837e+02	5.27927e-02	5.50000e-01
2.92853e+02	5.32045e-02	5.50000e-01
2.94947e+02	5.36162e-02	5.50000e-01
2.96973e+02	5.40280e-02	5.50000e-01
2.99049e+02	5.44397e-02	5.50000e-01
3.01076e+02	5.48515e-02	5.50000e-01
3.03106e+02	5.52633e-02	5.50000e-01
3.05145e+02	5.56750e-02	5.50000e-01
3.07252e+02	5.60868e-02	5.50000e-01
3.09351e+02	5.64985e-02	5.50000e-01
3.11322e+02	5.69103e-02	5.50000e-01
3.13085e+02	5.73220e-02	5.50000e-01
3.15021e+02	5.77338e-02	5.50000e-01
3.17035e+02	5.81455e-02	5.50000e-01
3.19050e+02	5.85573e-02	5.50000e-01
3.21064e+02	5.89690e-02	5.50000e-01
3.22889e+02	5.93808e-02	5.50000e-01
3.24851e+02	5.97925e-02	5.50000e-01
3.26828e+02	6.02043e-02	5.50000e-01
3.28846e+02	6.06161e-02	5.50000e-01
3.30870e+02	6.10278e-02	5.50000e-01
3.32901e+02	6.14396e-02	5.50000e-01
3.34188e+02	6.18513e-02	5.50000e-01
3.36081e+02	6.22631e-02	5.50000e-01
3.37902e+02	6.26748e-02	5.50000e-01
3.39856e+02	6.30866e-02	5.50000e-01
3.41867e+02	6.34983e-02	5.50000e-01
3.43878e+02	6.39101e-02	5.50000e-01
3.45167e+02	6.43218e-02	5.50000e-01
3.47010e+02	6.47336e-02	5.50000e-01
3.48922e+02	6.51453e-02	5.50000e-01
3.50802e+02	6.55571e-02	5.50000e-01
3.52839e+02	6.59689e-02	5.50000e-01
3.54876e+02	6.63806e-02	5.50000e-01
3.56067e+02	6.67924e-02	5.50000e-01
3.57634e+02	6.72041e-02	5.50000e-01
3.59260e+02	6.76159e-02	5.50000e-01
3.60883e+02	6.80276e-02	5.50000e-01
3.62533e+02	6.84394e-02	5.50000e-01
3.64161e+02	6.88511e-02	5.50000e-01
3.65788e+02	6.92629e-02	5.50000e-01
3.67428e+02	6.96746e-02	5.50000e-01
3.68959e+02	7.00864e-02	5.50000e-01
3.70706e+02	7.04981e-02	5.50000e-01
3.72365e+02	7.09099e-02	5.50000e-01
3.73980e+02	7.13217e-02	5.50000e-01
3.75526e+02	7.17334e-02	5.50000e-01
3.76975e+02	7.21452e-02	5.50000e-01
3.78420e+02	7.25569e-02	5.50000e-01
3.79630e+02	7.29687e-02	5.50000e-01
3.81537e+02	7.33804e-02	5.50000e-01
3.82822e+02	7.37922e-02	5.50000e-01
3.84544e+02	7.42039e-02	5.50000e-01
3.86132e+02	7.46157e-02	5.50000e-01
3.87567e+02	7.50274e-02	5.50000e-01
3.88802e+02	7.54392e-02	5.50000e-01
