# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "3D",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "HE-3D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "3D FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.03214e+01	2.71492e-02	5.50000e-01
3.07322e+01	2.75998e-02	5.50000e-01
3.10940e+01	2.80043e-02	5.50000e-01
3.14329e+01	2.84088e-02	5.50000e-01
3.17717e+01	2.88132e-02	5.50000e-01
3.21105e+01	2.92177e-02	5.50000e-01
3.24427e+01	2.96222e-02	5.50000e-01
3.27734e+01	3.00266e-02	5.50000e-01
3.30929e+01	3.04311e-02	5.50000e-01
3.34111e+01	3.08356e-02	5.50000e-01
3.37059e+01	3.12401e-02	5.50000e-01
3.40031e+01	3.16445e-02	5.50000e-01
3.43069e+01	3.20490e-02	5.50000e-01
3.46113e+01	3.24535e-02	5.50000e-01
3.49164e+01	3.28580e-02	5.50000e-01
3.52400e+01	3.32624e-02	5.50000e-01
3.55677e+01	3.36669e-02	5.50000e-01
3.58953e+01	3.40714e-02	5.50000e-01
3.62272e+01	3.44759e-02	5.50000e-01
3.65488e+01	3.48803e-02	5.50000e-01
3.68498e+01	3.52848e-02	5.50000e-01
3.71520e+01	3.56893e-02	5.50000e-01
3.74517e+01	3.60938e-02	5.50000e-01
3.77802e+01	3.64982e-02	5.50000e-01
3.80909e+01	3.69027e-02	5.50000e-01
3.83187e+01	3.73072e-02	5.50000e-01
3.85600e+01	3.77117e-02	5.50000e-01
3.88376e+01	3.81161e-02	5.50000e-01
3.91152e+01	3.85206e-02	5.50000e-01
3.93928e+01	3.89251e-02	5.50000e-01
3.96662e+01	3.93296e-02	5.50000e-01
3.99103e+01	3.97340e-02	5.50000e-01
4.01544e+01	4.01385e-02	5.50000e-01
4.03984e+01	4.05430e-02	5.50000e-01
4.06425e+01	4.09475e-02	5.50000e-01
4.08921e+01	4.13519e-02	5.50000e-01
4.11849e+01	4.17564e-02	5.50000e-01
4.14543e+01	4.21609e-02	5.50000e-01
4.16876e+01	4.25654e-02	5.50000e-01
4.19209e+01	4.29698e-02	5.50000e-01
4.21542e+01	4.33743e-02	5.50000e-01
4.23855e+01	4.37788e-02	5.50000e-01
4.26136e+01	4.41833e-02	5.50000e-01
4.28384e+01	4.45877e-02	5.50000e-01
4.30506e+01	4.49922e-02	5.50000e-01
4.32455e+01	4.53967e-02	5.50000e-01
4.34578e+01	4.58012e-02	5.50000e-01
4.36957e+01	4.62056e-02	5.50000e-01
4.39337e+01	4.66101e-02	5.50000e-01
4.41717e+01	4.70146e-02	5.50000e-01
4.44087e+01	4.74191e-02	5.50000e-01
4.46077e+01	4.78235e-02	5.50000e-01
4.47842e+01	4.82280e-02	5.50000e-01
4.49608e+01	4.86325e-02	5.50000e-01
4.51373e+01	4.90370e-02	5.50000e-01
4.53139e+01	4.94414e-02	5.50000e-01
4.54930e+01	4.98459e-02	5.50000e-01
