# These isoelasticity lines were extracted from FEM simulations conducted
# by Lucas Wittwer and were added to dclab 0.46.0.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "3D",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "HE-3D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "publication": "https://arxiv.org/abs/2208.12552",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "3D FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
1.37148e+02	2.21319e-02	6.10000e-01
1.43612e+02	2.27967e-02	6.10000e-01
1.45932e+02	2.31506e-02	6.10000e-01
1.48277e+02	2.35045e-02	6.10000e-01
1.50579e+02	2.38584e-02	6.10000e-01
1.52953e+02	2.42123e-02	6.10000e-01
1.55727e+02	2.45662e-02	6.10000e-01
1.59084e+02	2.49202e-02	6.10000e-01
1.62778e+02	2.52741e-02	6.10000e-01
1.65904e+02	2.56280e-02	6.10000e-01
1.67907e+02	2.59819e-02	6.10000e-01
1.69909e+02	2.63358e-02	6.10000e-01
1.72207e+02	2.66897e-02	6.10000e-01
1.75022e+02	2.70436e-02	6.10000e-01
1.78054e+02	2.73976e-02	6.10000e-01
1.80604e+02	2.77515e-02	6.10000e-01
1.83154e+02	2.81054e-02	6.10000e-01
1.85727e+02	2.84593e-02	6.10000e-01
1.88499e+02	2.88132e-02	6.10000e-01
1.90823e+02	2.91671e-02	6.10000e-01
1.93537e+02	2.95211e-02	6.10000e-01
1.96407e+02	2.98750e-02	6.10000e-01
1.99278e+02	3.02289e-02	6.10000e-01
2.02043e+02	3.05828e-02	6.10000e-01
2.04222e+02	3.09367e-02	6.10000e-01
2.06413e+02	3.12906e-02	6.10000e-01
2.08808e+02	3.16445e-02	6.10000e-01
2.11482e+02	3.19985e-02	6.10000e-01
2.14527e+02	3.23524e-02	6.10000e-01
2.16985e+02	3.27063e-02	6.10000e-01
2.19294e+02	3.30602e-02	6.10000e-01
2.21603e+02	3.34141e-02	6.10000e-01
2.23912e+02	3.37680e-02	6.10000e-01
2.26261e+02	3.41220e-02	6.10000e-01
